#OK
#SQL= 
#	with MyHalo as (
#	     select * from miniMDR1..FOF
#	        where snapnum=85
#		and fofId=85000004639
#	),
#	
#	fofHaloParticles as (
#	    select fP.* from miniMDR1..FOFParticles fP,
#	            MyHalo mH
#	        where fP.fofId = mH.fofId
#	            and fP.snapnum=85
#	)
#	
#	select p.* from fofHaloParticles hP, miniMDR1..particles p
#	    where p.particleId = hP.particleId
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2014-12-10 22:32:00.303 CET
#QUERYTIME 670 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857517117028,85,392.017,465.9113,877.9623,-1560.5316,163.0386,691.8726,993939419
857517117029,85,391.7917,466.9925,879.9188,-470.2092,674.494,-746.5045,993939386
857517117032,85,391.7628,466.9774,879.9954,-632.6892,762.5826,-622.7957,993939386
857517117035,85,391.2638,466.2163,878.0678,-1699.3778,364.4201,864.2888,993939418
857517117036,85,391.201,466.3411,878.4036,-1831.9152,449.0544,905.2014,993939418
857517117037,85,390.9249,466.2635,878.5544,-1689.923,838.96,615.5118,993939418
857517117040,85,391.3458,466.2923,879.3031,-804.4832,597.3854,-989.6046,993939329
857517117048,85,390.3552,466.6729,879.1491,-1542.1145,1164.6179,-82.1231,993939672
857517133321,85,390.6947,466.3569,878.9513,-27.2907,209.8559,421.9092,993939329
857517133322,85,390.7219,466.4995,878.9938,-76.515,311.0288,544.5434,993939329
857517133330,85,390.8434,466.65,878.0385,-1071.5382,-453.2095,-473.1448,993939418
857517133332,85,390.9564,466.601,878.9733,256.3315,289.4614,418.7872,993939329
857517133333,85,390.9416,466.5915,878.984,227.88,300.1466,406.9678,993939329
857517133334,85,390.8994,466.5768,878.9717,214.326,275.6995,433.7914,993939329
857517133340,85,391.3198,466.5121,879.4025,-833.4358,847.5992,-992.2172,993939329
